X,Y,AOSNUMBER,City,County,State,Address,Latitude,Longitude,Agency,Type of LE,Summary,Technology,Vendor,Link 1,Link 1 Sna,Link 1 Sou,Link 1 Typ,Link 1 Dat,Link 2,Link 2 Sna,Link 2 Sou,Link 2 Typ,Link 2 Dat,Link 3,Link 3 Sna,Link 3 Sou,Link 3 Typ,Link 3 Dat,Other Link,icon_url
-120.9970014,37.6392595,AOS4878,Modesto,Stanislaus County,CA,Modesto CA,37.639259500000001,-120.997001400000002,Modesto Police Department,Police,The Modesto Police Department opened its real-time crime center in 2016. The RTCC has access to at least 50 live camera feeds. The RTCC also monitors drone footage and a real-time map of call for service. MPD utilizes automated license plate reader techn,Real-Time Crime Center,,https://www.sacbee.com/latest-news/article172209112.html,,The Sacramento Bee,,2/6/2018,https://bit.ly/2qDItoe,,Facebook,,2/17/2017,https://twitter.com/ModestoPolice/status/834114125970092033,,Twitter,,2/21/2017,,./0.png
-84.5120196,39.1031182,AOS4879,Cincinnati,Hamilton County,OH,Cincinnati OH,39.103118199999997,-84.512019600000002,Cincinnati Police Department,Police,"The Cincinnati Police Department began a video surveillance system as part of a partnership in 2008 with the Federal Signal Corporation, Genetec, Axis Communications, and Firetide. Today, this camera system feeds directly into the CPD's Real-Time Crime C",Real-Time Crime Center,,https://www.genetec.com/solutions/resources/city-of-cincinnati-security-and-surveillance,,Genetec,,,https://www.axis.com/files/success_stories/ss_cit_cincinnati_police_60471_en_1501_lo.pdf,,Axis Communications,,"2015",https://www.firetide.com/files/3114/5756/2361/Case_Study_-_UNICOM_Fighting_Crime_along_the_Ohio_River.pdf,,Firetide,,,,./0.png
-80.8431267,35.2270869,AOS4880,Charlotte,Mecklenburg County,NC,Charlotte NC,35.227086900000003,-80.843126699999999,Charlotte-Mecklenburg Police Department,Police,"The Charlotte-Mecklenburg Police Department's real-time crime center has been operating since 2013. The RTCC has access to over 1,000 cameras across the city, and is connected to at least 95 fixed automated license plate readers. Around 13 mobile ALPRs a",Real-Time Crime Center,,https://www.ndi-rs.com/2017/11/17/charlotte-mecklenburg-pd-real-time-crime-center-revolutionizes-police-work/,,NDI Recognition Systems,,11/17/2017,https://it.ojp.gov/CAT/Documents/EvolutionofCMPD_RTCCandCAD.pdf,,Justice Information Sharing via DOJ,,,https://it.ojp.gov/CAT/Documents/Charlotte-MecklenburgPoliceDepartmentSOPforRTCC.pdf,,Justice Information Sharing via DOJ,,4/15/2015,,./0.png
-122.3320708,47.6062095,AOS4881,Seattle,King County,WA,Seattle WA,47.606209499999999,-122.332070799999997,Seattle Police Department,Police,"The Seattle Police Department has operated a real-time crime center in its headquarters since 2015, funded with asset forfeiture dunds and a $400,000 federal grant. The RTCC provides analyzts with a wall of monitors that monitors criminal activity in rea",Real-Time Crime Center,,https://www.seattle.gov/Documents/Departments/Tech/Real-Time-Crime-Center-Project-PIA-FINAL.pdf,,City of Seattle's Website,,12/6/2017,https://komonews.com/archive/seattle-police-unveil-high-tech-real-time-crime-center,,KOMO News,,10/7/2015,https://www.thestranger.com/slog/2016/06/09/24190187/seattle-police-drop-plans-for-crime-forecasting,,The Stranger,,6/9/2016,,./0.png
-83.0457538,42.331427,AOS4882,Detroit,Wayne County,MI,Detroit MI,42.331426999999998,-83.045753800000000,Detroit Police Department,Police,"The Detroit Police Department opened its real-time crime center in 2016 . The RTCC accesses more than 500 cameras from at least 229 businesses through a program called  ""Project Green Light"", where businesses agreed to pay for and install security camera",Real-Time Crime Center,,https://www.freep.com/story/news/local/michigan/detroit/2019/07/23/detroit-real-time-crime-center-expansion/1802761001/,,Detroit Free Press,,7/23/2019,https://www.wxyz.com/news/region/detroit/detroit-police-open-new-real-time-crime-center-inside-dpd-headquarters,,WXYZ Detroit,,11/17/2017,http://theneighborhoods.org/story/inside-real-time-crime-center-dpds-24-hour-monitoring-station,,The Neighborhoods,,,,./0.png
-80.3553302,25.8195424,AOS4883,Doral,Miami-Dade County,FL,Doral FL,25.819542400000000,-80.355330199999997,Miami-Dade Police Department,Police,"The Miami-Dade Police Department Real-Time Crime Center provided access to a citywide surevillance camera network and ShotSpotter gunshot detection sensors. The RTCC also allows residents to send-in video, texts, or pictures of any crimes in an app calle",Real-Time Crime Center,,https://miami.cbslocal.com/2015/08/11/police-departments-new-crime-center-will-help-keep-citizens-safe/,,CBS Miami,,8/11/2015,https://www.nbcmiami.com/news/local/New-Tool-Helps-Police-Nab-Criminals-in-Real-Time-321474421.html,,NBC Miami,,8/11/2015,https://www.nbcmiami.com/news/local/shotspotter-could-save-lives-but-some-questioned-its-role-in-reducing-crime/1935794/,,NBC Miami,,10/9/2019,,./0.png
-75.5483909,39.744655,AOS4884,Wilmington,New Castle County,DE,Wilmington DE,39.744655000000002,-75.548390900000001,Wilmington Police Department,Sheriff,"The Wilmington Police Department opened its real-time crime center in May 2016. The RTCC has the ability to see real-time data including gunshot detection and calls for service. WPD received $750,000 in state funding to purchase additional technology tha",Real-Time Crime Center,,https://whyy.org/articles/wilmington-police-department-launch-real-time-crime-center/,,WHYY NPR,,5/16/2016,https://technical.ly/delaware/2016/05/17/wilmington-police-real-time-crime-center/,,Technical.ly,,5/17/2016,https://www.wect.com/story/37147093/wpd-celebrates-first-year-of-real-time-crime-center/,,WECT 6,,12/27/2017,,./0.png
-81.8723084,26.640628,AOS4885,Fort Myers,Lee County,FL,Fort Myers FL,26.640628000000000,-81.872308399999994,Fort Myers Police Department,Police,"The Fort Myers Police Department launched its real-time crime center in 2018. The RTCC has access to 85 surveillance cameras placed across the city, and ShotSpotter gunshot detection sensors. According to Police Magazine, the RTCC is staffed by officers",Real-Time Crime Center,,https://www.policemag.com/486686/fort-myers-police-department-launches-a-real-time-crime-center,,Police Magazine,,12/10/2018,https://news.wgcu.org/post/fort-myers-police-department-touts-downward-trends-crime-rates,,WGCU NPR,,7/17/2019,https://www.news-press.com/story/news/2018/10/24/fort-myers-police-add-high-tech-center-help-catch-criminals/1741246002/,,News-Press,,10/24/2018,,./0.png
-80.2456045,25.9420377,AOS4886,Miami Gardens,Miami-Dade County,FL,Miami Gardens FL,25.942037700000000,-80.245604499999999,Miami Gardens Police Department,Police,"The Miami Gardens Police Department launched its real-time crime center in 2015. According to Commercial Integrator, the RTCC  is equipped with a video wall system and access to automated license plate readers, ShotSpotter gunshot detection technology, a",Real-Time Crime Center,,https://www.commercialintegrator.com/ci/inside_the_high_tech_real_time_crime_center_thats_keeping_110000_city_resid/,,Commercial Integrator,,10/19/2016,https://www.miamitimesonline.com/news/local/new-real-time-crime-center-in-miami-gardens-police-department/article_4e1f7bba-9098-11e6-acf2-10604b9ffe60.html,,Miami Times,,8/10/2016,,,,,,,./0.png
-95.4560512,30.3118769,AOS4887,Conroe,Montgomery County,TX,Conroe TX,30.311876900000001,-95.456051200000005,Montgomery County Sheriff's Office,Sheriff,"The Montgomery County Sheriff's Office began developing its real-time crime center in 2017. The RTCC access calls for service, surveillance cameras, CAD (Computer Aided Dispatch). The department also contracted with Motorola Solutions for automated licen",Real-Time Crime Center,,https://www.yourconroenews.com/neighborhood/moco/news/article/High-tech-crime-fighting-coming-to-Montgomery-12202974.php,,The Courier,,9/16/2017,http://www.mctxsheriff.org/divisions/patrol_west/real_time_crime_center.php,,The Montgomery County Sheriff’s Office,,,https://www.motorolasolutions.com/en_us/products/command-center-software/real-time-intelligence-operations/montgomery-county-case-study.html,,Motorola Solutions,,,,./0.png
-81.0228331,29.2108147,AOS4888,Daytona Beach,Volusia County,FL,Daytona Beach FL,29.210814700000000,-81.022833100000000,Volusia County Sheriff's Office,Sheriff,"The Volusia County Sheriff's Office launched its $600,000 real-time crime center in 2019, paid for with drug forfeiture funds. The RTCC us staffed by four crime analysts who give real time information to officers as they arrive at a crime scene. The anal",Real-Time Crime Center,,https://www.hometownnewsvolusia.com/news/vcso-crime-center-debuts/article_a35911d6-7e52-11e9-ba8c-331bfd6cba2d.html,,Hometown News,,5/30/2019,https://www.govtech.com/dc/articles/Florida-County-Sheriff-Taps-into-Local-Cameras-for-Real-Time-Crime-Center.html,,Government Technology,,11/6/2016,http://geoshield.us/Downloads/GeoShield_Daytona_Beach.pdf,,Daytona Beach Police Department,,,,./0.png
-97.7430608,30.267153,AOS4889,Austin,Travis County,TX,Austin TX,30.267153000000000,-97.743060799999995,Austin Police Department,Police,"The Austin Police Department has operated a real-time crime center since 2010. The RTCC cost about $750,000 and was paid for without city funds through a federal grant. The RTCC accesses a network of 1000  H.A.L.O., or High Activity Location Observation,",Real-Time Crime Center,,https://www.spartnerships.com/police-departments-deterring-identifying-solving-crimes-faster-real-time/,,Strategic Partnerships Inc.,,5/19/2017,https://www.kvue.com/article/news/local/help-from-above-a-look-at-apds-halo-cameras-and-how-they-work/269-561140577,,KVUE,,6/3/2018,http://www.austintexas.gov/department/austin-regional-intelligence-center,,City of Austin official website,,,,./0.png
-106.650422,35.0843859,AOS4890,Albuquerque,Bernalillo County,NM,Albuquerque NM,35.084385900000001,-106.650422000000006,Albuquerque Police Department,Police,"The Albuquerque Police Department opened its real-time crime center in March 2011. This RTCC cost $800,000 and was paid through bonds and federal grants. The RTCC has 16 television screens, including a 90-inch monitor, and eight work stations. The center",Real-Time Crime Center,,https://www.policemag.com/374291/albuquerques-real-time-crime-center,,Police Magazine,,4/22/2013,https://www.abqjournal.com/174040/apd-video-crime-center-debuts.html,,Albuquerque Journal,,3/2/2013,https://www.cabq.gov/police/documents/5-9-real-time-crime-center.pdf,,Albuquerque Police Department,,4/28/2017,,./0.png
-97.3307658,32.7554883,AOS4891,Fort Worth,Tarrant County,TX,Fort Worth TX,32.755488300000003,-97.330765799999995,Fort Worth Police Department,Police,The Fort Worth Police Department's Real-Time Crime Center accesses more 360 cameras across the city as well as automated license plate readers.,Real-Time Crime Center,,http://apps.fortworthtexas.gov/council_packet/mc_review.asp?ID=21209&councildate=9/15/2015,,Fort Worth Official Site,,9/15/2015,https://www.wfaa.com/article/news/local/tarrant-county/eyes-on-you-fort-worth-police-install-real-time-surveillance-cameras/474648148,,WFAA,,9/13/2017,http://fortworth.culturemap.com/news/city-life/12-03-18-police-department-operation-grinch-holiday-packages/,,Culture Map,,12/3/2018,,./0.png
-82.7192671,28.2441768,AOS4892,New Port Richey,Pasco County,FL,New Port Richey FL,28.244176800000002,-82.719267099999996,Pasco County Sheriff's Office,Sheriff,"The Pasco County Sheriff’s Office Real-Time Crime Center is staffed by 10 crime analysts and a supervisor. According to the Pasco County Sheriff's Office, the RTCC analysts evaluate calls for service and access police databases and locational data.",Real-Time Crime Center,,https://pascosheriff.com/future-operations-division.html,,Pasco County Sheriff's Office,,"2020",https://www.wfla.com/news/pasco-sheriff-beefs-up-911-center-to-keep-deputies-safe/,,WFLA,,7/20/2016,,,,,,,./0.png
-80.0580969,26.7753405,AOS4893,Riviera Beach,Palm Beach County,FL,Riviera Beach FL,26.775340499999999,-80.058096899999995,Riviera Beach Police Department,Police,The Riviera Beach Police Department established its real-time crime center in 2012. The RTCC access a network of over 200 camerasa and ShotSpotter gunshot detection sensors.,Real-Time Crime Center,,http://www.rivierabch.com/filestorage/24577/24610/24663/24694/RBPD_Newsletter_November_2014.pdf,,Riviera Beach Police Department,,"2014",http://www.rivierabch.com/filestorage/24577/24610/24663/24694/2017_May_RBPD_Newsletter2.pdf,,Riviera Beach Police Department,,5/1/2017,,,,,,,./0.png
-74.0059728,40.7127753,AOS4894,New York City,"Richmond County, Queens County, Bronx County, Kings County, New York County",NY,New York City NY,40.712775299999997,-74.005972799999995,New York Police Department,Police,"The New York Police Department opened its real-time crime center in 2005 at cost of $11 million. The RTCC is located wihthin the NYPD Headquarters in New York City and is staffed with more than 40 detectives and civilian analysts. In 2019, a report from",Real-Time Crime Center,,http://www.nyc.gov/html/unccp/gprb/downloads/pdf/NYC_Safety%20and%20Security_RTCC.pdf,,New York Police Department,,4/27/2010,https://www.documentcloud.org/documents/6809938-NYPD-Facial-Recognition-Patrol-Guide.html,,NYPD,,3/12/2020,https://www.brennancenter.org/sites/default/files/2019-10/2019_10_LNS_%28NYPD%29Surveillance_Final.pdf,,Brennan Center,,10/7/2019,,./0.png
-86.8103567,33.5185892,AOS4895,Birmingham,Jefferson County,AL,Birmingham AL,33.518589200000001,-86.810356700000000,Birmingham Police Department,Police,"The Birmingham Police Department received city council approval to spend $1.5 million on its real-time crime center in May 2019. The RTCC has a camera network, including a pilot program with Alabama Power for 95 surveillance cameras around the city—eac",Real-Time Crime Center,,https://www.birminghamtimes.com/2019/05/birmingham-police-receives-700k-grant-for-body-cameras/,,Birmingham Times,,5/29/2019,https://www.al.com/news/birmingham/2019/05/birmingham-police-will-fight-crime-with-all-seeing-live-technology.html,,AL.com,,5/29/2019,https://www.wbrc.com/2019/07/25/real-time-crime-center-birmingham-police-dept/,,6 WBRC,,7/25/2019,,./0.png
-72.6733723,41.7658043,AOS4896,Hartford,Hartford County,CT,Hartford CT,41.765804299999999,-72.673372299999997,Hartford Police Department,Police,"The Hartford Police Department launched its real-time crime center in 2016. The Capital City Crime Center uses automated license plate readers, ShotSpotter gunshot detection, a network of more than 750 cameras, and multiple data analysis software tools.",Real-Time Crime Center,,https://www.wtnh.com/news/technology/crime-fighting-and-technology-intersect-in-hartford/,,WTNH News 8,,2/15/2018,https://upload-assets.vice.com/files/2018/06/12/1528825704milestone_hartford_crime_center__1_.pdf,,Milestone,,,https://www.nbcconnecticut.com/news/local/Hartford-Police-Crime-Center-Updates-370016321.html,,NBC Connecticut,,2/24/2016,,./0.png
-75.1652215,39.9525839,AOS4897,Philadelphia,Philadelphia County,PA,Philadelphia PA,39.952583900000000,-75.165221500000001,Philadelphia Police Department,Police,"The Philadelphia Police Department's Delaware Valley Intelligence Center includes a real-time crime center with access to more than 1,800 surveillance cameras, automated license plate readers and 14 police databases.",Real-Time Crime Center,,https://www.phillypolice.com/units/dvic/,,Philadelphia Police Department,,"2019",https://technical.ly/philly/2013/02/20/real-time-crime-center-1-year-after-launch-24-hour-support-center-will-move-to-delaware-valley-intelligence-center-this-spring/,,Technical.ly,,2/20/2013,https://philadelphia.cbslocal.com/2013/02/16/philadelphia-police-demonstrate-high-tech-real-time-crime-center/,,CBS Philly,,2/16/2013,,./0.png
-81.3789269,28.5383832,AOS4898,Orlando,Orange County,FL,Orlando FL,28.538383199999998,-81.378926899999996,Orlando Police Department,Police,"The Orlando Police Department launched its real-time crime center in 2019. The RTCC will also uses a network of surveillance cameras, a variety of police databases, and automated licesne plate readers.",Real-Time Crime Center,,https://www.wesh.com/article/opd-officers-schedules-shifting-focus-on-tech-sharpening/27245692#,,WESH 2,,4/23/2019,https://www.wmfe.org/orlando-police-increases-patrols-on-weekdays-and-weekends-announces-real-time-crime-center/104640,,WMFE Orlando,,4/23/2019,,,,,,,./0.png
-95.3698028,29.7604267,AOS4899,Houston,"‎Montgomery County, ‎Fort Bend County‎, ‎Harris County‎",TX,Houston TX,29.760426700000000,-95.369802800000002,Houston Police Department,Police,"The Houston Police Department merged two units—command center and the crime analysis division—into a singular, 24-hour crime center in 2008. The RTCC’s goal is “to disseminate crime information and investigative-support data to officers and inves",Real-Time Crime Center,,https://www.houstontx.gov/police/divisions/crime_analysis_&_command_center/index.htm,,Houston Police Department,,,https://www.chron.com/news/houston-texas/article/HPD-s-Real-Time-Crime-Center-works-behind-the-3808578.php,,Chron,,8/23/2012,https://www.policeone.com/police-products/communications/press-releases/information-builders-business-intelligence-technology-aids-houston-police-in-fight-against-crime-QkoKj9J1fGgqs0Xf/,,Police One,,2/21/2008,,./0.png
-82.9987942,39.9611755,AOS4900,Columbus,Franklin County,OH,Columbus OH,39.961175500000003,-82.998794200000006,Franklin County Sheriff's Office,Sheriff,"The Franklin County Sheriff's Office announced its proposal for a Real-Time Crime Center in 2019. According to news reports, the City of Columbus passed a bond package that included  funding for the RTCC, which authorized the implementation of a video ce",Real-Time Crime Center,,https://www.10tv.com/article/franklin-county-law-enforcement-could-soon-be-operating-under-one-real-time-crime-center,,WBNS Channel 10,,5/30/2019,https://www.columbus.gov/mayor/bond-package/Bond-Package-Full-Info-Packet/,,City of Columbus,,"2019",,,,,,,./0.png
-80.0533746,26.7153424,AOS4901,West Palm Beach,Palm Beach County,FL,West Palm Beach FL,26.715342400000001,-80.053374599999998,West Palm Beach Police Department,Police,"The West Palm Beach Police Department operates a Real-Time Crime Center, which was approved for $1.2 million in 2018. The RTCC accesses Shotspotter gunshot detection software, automated license plate readers, and other surveillance technologies.",Real-Time Crime Center,,https://www.wptv.com/news/region-c-palm-beach-county/west-palm-beach/west-palm-beach-police-to-unveil-real-time-crime-center-including-shotspotter-license-plate-readers,,WPTV,,11/14/2018,https://cbs12.com/news/local/west-palm-beach-police-reveal-high-tech-real-time-crime-center-to-catch-criminals,,12 News,,11/14/2018,https://www.govtech.com/public-safety/West-Palm-Beach-Police-Unveil-High-Tech-Crime-Center.html,,Government Technology,,11/15/2018,,./0.png
-90.0715323,29.9510658,AOS4902,New Orleans,Orleans Parish,LA,New Orleans LA,29.951065799999999,-90.071532300000001,New Orleans Office of Homeland Security,Police,"The New Orleans Police Department opened its real-time crime center in November 2017 as a part of the $40-million Citywide Public Safety Improvement Plan. As of December 2018, the RTCC employs a staff of 18 and accesses more than 340 cameras. In February",Real-Time Crime Center,,https://surveillance.thelensnola.org/,,The Lens,,10/21/2021,https://www.nola.gov/homeland-security/real-time-crime-center/,,New Orleans Homeland Security,,5/28/2020,https://gcn.com/articles/2018/02/21/new-orleans-crime-operations-center.aspx,,Government Computer News,,2/21/2018,,./0.png
-121.4943996,38.5815719,AOS4903,Sacramento,Sacramento County,CA,Sacramento CA,38.581571900000000,-121.494399599999994,Sacramento Police Department,Police,"The Sacramento Police Department built a real time crime center in the Central Command Police Facility for $500,000 in June 2016. The RTCC has access to police observation devices, automated license plate readers, and ShotSpotter gunshot detection softwa",Real-Time Crime Center,,https://www.govtech.com/dc/articles/Sacramento-Calif-Police-Launch-Real-Time-Crime-Center.html,,Government Technology,,12/7/2016,,,,,,,,,,,,./0.png
-84.2807329,30.4382559,AOS4904,Tallahassee,Leon County,FL,Tallahassee FL,30.438255900000001,-84.280732900000004,Leon County Sheriff's Office,Sheriff,"The Leon County Real-Time Crime Center opened on November 2019, but as of 2021 it shared space at Florida State University with the FSUPD's own real-time crime center.  The RTCC includes partnerships with Leon County Schools, Leon County Detention Facili",Real-Time Crime Center,,http://www.leoncountyso.com/docs/default-source/news-releases/many-success-stories-in-the-real-time-crime-center-s-first-90-days.pdf?sfvrsn=bb999f08_2,,Leon County Sheriff's Office,,1/30/2019,https://www.wtxl.com/news/lcso-unveils-new-real-time-crime-center/article_af42e61c-f35a-11e8-a32d-2bd5dc910bb2.html,,WTXL Tallahassee,,11/28/2018,https://www.wtxl.com/news/local-news/lcso-hopes-to-expand-real-time-crime-center,,WTXL Tallahassee,,4/23/2019,,./0.png
-90.1994042,38.6270025,AOS4905,St. Louis,St. Louis County,MO,St. Louis MO,38.627002500000003,-90.199404200000004,St. Louis Police Department,Police,"The St. Louis Metropolitan Police Department has operated a real-time crime center since May 2015. The RTCC has access to over 600 police and city cameras, more than 200 automated license plate reader, and a network of ShotSpotter gunshot detection senso",Real-Time Crime Center,,https://www.slmpd.org/RealTimeCrimeCenter.shtml,,St. Louis Police Department,,"2015",http://www.stlamerican.com/news/political_eye/race-crime-and-surveillance-why-st-louis-real-time-crime/article_0e6b341a-f606-11e9-aa0e-77baa97db466.html,,St. Louis American,,10/24/2019,https://www.theverge.com/2016/2/3/10895804/st-louis-police-hunchlab-predictive-policing-marshall-project,,The Verge,,,,./0.png
-111.9738304,41.223,AOS4906,Ogden,Weber County,UT,Ogden UT,41.222999999999999,-111.973830399999997,Ogden Police Department,Police,"Since 2011, the Ogden Police Department has operated the Area Tactical Analysis Center, which is currently located in the Public Safety Building near Ogden’s historic downtown district. Despite being a relatively small city, Ogden’s ATAC uses a wide",Real-Time Crime Center,,https://fox13now.com/2018/02/09/ogdens-real-time-crime-center-yielding-real-big-results/,,FOX 13,,2/9/2018,https://geotime.com/wp-content/uploads/2017/03/gt-casetstudies-ogdenpolicecase.pdf,,GeoTime,,"2012",https://smartcitiescouncil.com/system/tdf/public_resources/Ogden%20police%20department.pdf?file=1&type=node&id=387&force=,,Smart Cities Council,,1/1/2012,,./0.png
-87.6297982,41.8781136,AOS4907,Chicago,Cook County,IL,Chicago IL,41.878113599999999,-87.629798199999996,Chicago Police Department,Police,"The Chicago Police Department operates six Strategic Decision Support Centers (SDSCs) which are district-level real-time crime centers.The Strategic Support Decision Centers were launched in 2017 and utilize over 35,000 cameras. They have access to at le",Real-Time Crime Center,,https://www.nytimes.com/2018/05/26/us/chicago-police-surveillance.html,,NY Times,,5/26/2018,https://resources.genetec.com/public-safety/looking-for-cost-effective-crime-center-technology,,Genetec,,,https://chicago.suntimes.com/2019/1/8/18419983/police-roll-out-more-cars-equipped-with-license-plate-reader-technology,,Chicago Sun Times,,1/8/2019,,./0.png
-74.1723667,40.735657,AOS4908,Newark,Essex County,NJ,Newark NJ,40.735657000000003,-74.172366699999998,Newark Police Department,Police,"The Newark Police Department functions as the headquarters for the CorrStat Real-Time Crime Center, which has been operational since 2013. The RTCC shares information between the New Jersey Regional Operations Intelligence Center, the Newark Police Depar",Real-Time Crime Center,,https://www.policechiefmagazine.org/shared-solutions-for-shared-problems/?fbclid=IwAR24VoMh9qPsqwLNuJhGCaNsqc0ozEfxIMzllOPNpbup8Fc72XRjvvVhdxo,,Police Chief Magazine,,,https://gcn.com/articles/2015/02/11/nj-rtcc.aspx,,GCN,,2/11/2015,https://local.nixle.com/alert/6267273/,,Nixle,,11/20/2017,,./0.png
